id,name,description,price,stock,category_id,image_url,brand,images,variants,tags,reviews,questions,faqs,size_chart,store_type,featured,colors
36,Nouveau T-shirt,Un t-shirt confortable et élégant,29.99,100,2,/placeholder.png,APC,{},"[{""size"": ""M"", ""color"": ""rouge"", ""stock"": 50}, {""size"": ""L"", ""color"": ""bleu"", ""stock"": 50}]","{t-shirt,coton}",,,,,adult,f,"{rouge,bleu}"
34,Nouveau T-shirt,Un t-shirt confortable et élégant,29.99,100,2,http://localhost:5001/api/uploads/placeholder.png,"",{},"[{""size"": ""M"", ""color"": ""rouge"", ""stock"": 50}, {""size"": ""L"", ""color"": ""bleu"", ""stock"": 50}]","{t-shirt,coton}",,,,[],adult,t,"{rouge,bleu}"
44,Produit Test,Description test,99.99,5,13,,STONE ISLAND,,"[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 3}, {""size"": ""L"", ""color"": ""Noir"", ""stock"": 2}]",,,,,,adult,f,
32,Nouveau T-shirt,Un t-shirt confortable et élégant,29.99,96,8,,C.P.COMPANY,{},"[{""size"": ""M"", ""color"": ""rouge"", ""stock"": 50}, {""size"": ""L"", ""color"": ""bleu"", ""stock"": 50}, {""size"": ""S"", ""color"": ""Noir"", ""stock"": 10}, {""size"": ""XS"", ""color"": ""Vert"", ""stock"": 15}]","{t-shirt,coton}",[],[],[],[],cpcompany,f,"{rouge,bleu}"
42,Produit,ssss,300.00,0,2,,C.P.COMPANY,{},"[{""size"": ""L"", ""color"": ""Noir"", ""stock"": 2}]",,[],[],[],[],cpcompany,t,{}
41,Produit cp,ssss,150.00,0,6,,C.P.COMPANY,{},[],,[],[],[],[],cpcompany,t,{}
33,Nouveau T-shirt,Un t-shirt confortable et élégant,29.99,100,2,http://localhost:5001/api/uploads/placeholder.png,"",{http://localhost:5001/api/uploads/1736782462670-s-l1200.jpg},"[{""size"": ""M"", ""color"": ""rouge"", ""stock"": 50}, {""size"": ""L"", ""color"": ""bleu"", ""stock"": 50}, {""size"": ""S"", ""color"": ""Noir"", ""stock"": 50}]","{t-shirt,coton}",,,,[],adult,t,"{rouge,bleu}"
35,SALOMON XT SLATE,Un t-shirt confortable et élégant,200.00,92,12,http://localhost:5001/api/uploads/placeholder.png,"",{http://localhost:5001/api/uploads/1738939722021-L47460500_1_800x.png},"[{""size"": ""40"", ""color"": ""Noir"", ""stock"": 10}]","{t-shirt,coton}",,,,[],sneakers,t,"{rouge,bleu}"
50,Produit Test 1,Description détaillée du produit test 1,668.32,64,2,https://picsum.photos/400/600?random=1,Adidas,"{https://picsum.photos/400/600?random=1,https://picsum.photos/400/600?random=2}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 8}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 43}]","{sport,tendance,nouveau}","[{""user"": ""User1"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
51,Produit Test 2,Description détaillée du produit test 2,420.22,84,2,https://picsum.photos/400/600?random=2,Puma,"{https://picsum.photos/400/600?random=2,https://picsum.photos/400/600?random=3}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 16}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 37}]","{sport,tendance,nouveau}","[{""user"": ""User2"", ""rating"": 1, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
52,Produit Test 3,Description détaillée du produit test 3,947.89,36,2,https://picsum.photos/400/600?random=3,Under Armour,"{https://picsum.photos/400/600?random=3,https://picsum.photos/400/600?random=4}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 48}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 44}]","{sport,tendance,nouveau}","[{""user"": ""User3"", ""rating"": 3, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
53,Produit Test 4,Description détaillée du produit test 4,472.07,44,2,https://picsum.photos/400/600?random=4,Nike,"{https://picsum.photos/400/600?random=4,https://picsum.photos/400/600?random=5}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 49}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 1}]","{sport,tendance,nouveau}","[{""user"": ""User4"", ""rating"": 1, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
54,Produit Test 5,Description détaillée du produit test 5,261.05,0,2,https://picsum.photos/400/600?random=5,Adidas,"{https://picsum.photos/400/600?random=5,https://picsum.photos/400/600?random=6}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 5}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 6}]","{sport,tendance,nouveau}","[{""user"": ""User5"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
55,Produit Test 6,Description détaillée du produit test 6,918.35,35,2,https://picsum.photos/400/600?random=6,Puma,"{https://picsum.photos/400/600?random=6,https://picsum.photos/400/600?random=7}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 4}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 49}]","{sport,tendance,nouveau}","[{""user"": ""User6"", ""rating"": 2, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
56,Produit Test 7,Description détaillée du produit test 7,54.11,37,2,https://picsum.photos/400/600?random=7,Under Armour,"{https://picsum.photos/400/600?random=7,https://picsum.photos/400/600?random=8}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 38}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 47}]","{sport,tendance,nouveau}","[{""user"": ""User7"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
57,Produit Test 8,Description détaillée du produit test 8,786.72,44,2,https://picsum.photos/400/600?random=8,Nike,"{https://picsum.photos/400/600?random=8,https://picsum.photos/400/600?random=9}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 9}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 4}]","{sport,tendance,nouveau}","[{""user"": ""User8"", ""rating"": 2, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
